Latitude,Longitude,Depth,Magnitude,Quality,Location
66.235,-16.559,2.8 km,1.2,40.47,8.8 km SSW of Kópasker
66.235,-16.544,8.4 km,1.6,90.01,8.5 km SSW of Kópasker
66.239,-16.548,3.5 km,1.2,51.46,8.2 km SSW of Kópasker
66.233,-16.56,2.7 km,1,37.04,9.0 km SSW of Kópasker
66.24,-16.605,3.3 km,1.6,90.01,9.7 km SW of Kópasker
66.234,-16.565,3.4 km,1.6,90.02,9.1 km SW of Kópasker
66.253,-16.539,3.1 km,1.4,78.49,6.7 km SW of Kópasker
66.252,-16.542,3.5 km,1.6,90.01,6.8 km SW of Kópasker
66.25,-16.543,3.6 km,1.1,52.19,7.0 km SW of Kópasker
66.244,-16.544,4.0 km,1.3,73.78,7.6 km SSW of Kópasker
66.248,-16.567,2.5 km,2,90.02,7.9 km SW of Kópasker
66.242,-16.538,1.0 km,1.5,37.59,7.7 km SSW of Kópasker
66.236,-16.573,2.7 km,1.7,75.32,9.1 km SW of Kópasker
66.26,-16.542,1.9 km,2.2,99,6.1 km SW of Kópasker
66.251,-16.527,4.2 km,1.4,68.64,6.6 km SSW of Kópasker
66.257,-16.539,3.6 km,1.4,54,6.3 km SW of Kópasker
66.288,-16.478,5.2 km,1.2,39.85,1.9 km SW of Kópasker
66.243,-16.549,3.5 km,1.6,99,7.8 km SW of Kópasker
66.24,-16.557,5.4 km,2.4,99,8.3 km SW of Kópasker
66.271,-16.534,3.6 km,1.4,68.26,5.0 km SW of Kópasker
66.267,-16.556,1.4 km,1.6,99,6.0 km SW of Kópasker
66.232,-16.558,3.3 km,1.4,57.36,9.1 km SSW of Kópasker
66.265,-16.541,1.0 km,1.6,99,5.7 km SW of Kópasker
66.271,-16.534,2.3 km,1.1,39.63,5.0 km SW of Kópasker
66.197,-16.577,4.4 km,1.2,30.76,12.9 km SSW of Kópasker
66.278,-16.51,3.1 km,1.3,51.08,3.7 km SW of Kópasker
66.245,-16.571,2.0 km,2,90.03,8.2 km SW of Kópasker
66.232,-16.56,3.3 km,1.3,53.81,9.1 km SSW of Kópasker
66.231,-16.566,2.4 km,1.6,99,9.3 km SSW of Kópasker
66.241,-16.547,4.9 km,1.5,42.56,8.0 km SSW of Kópasker
66.241,-16.556,4.2 km,2.1,99,8.2 km SW of Kópasker
66.242,-16.552,2.6 km,1.1,38.93,8.0 km SW of Kópasker
66.23,-16.544,5.2 km,1.2,42.69,9.0 km SSW of Kópasker
66.243,-16.539,4.2 km,1.5,71.34,7.6 km SSW of Kópasker
66.245,-16.54,5.9 km,1.3,38.73,7.4 km SSW of Kópasker
66.239,-16.553,5.1 km,1.2,53.19,8.3 km SSW of Kópasker
66.24,-16.5,11.8 km,1.5,31.72,7.2 km SSW of Kópasker
66.201,-16.595,2.2 km,1,30.59,12.9 km SSW of Kópasker
66.241,-16.556,2.2 km,1.1,40.73,8.2 km SW of Kópasker
66.237,-16.555,3.4 km,1.3,53.05,8.5 km SSW of Kópasker
66.235,-16.561,3.1 km,1.9,99,8.9 km SSW of Kópasker
66.231,-16.567,3.5 km,1.1,31.11,9.4 km SSW of Kópasker
66.239,-16.557,5.2 km,1.2,54.78,8.4 km SW of Kópasker
66.237,-16.561,3.2 km,2.2,99,8.7 km SW of Kópasker
66.237,-16.563,3.3 km,2.1,99,8.7 km SW of Kópasker
66.24,-16.56,3.8 km,2.4,99,8.4 km SW of Kópasker
66.239,-16.558,4.3 km,2,99,8.4 km SW of Kópasker
66.26,-16.522,2.2 km,2.1,99,5.6 km SW of Kópasker
66.237,-16.556,3.2 km,1.6,99,8.5 km SSW of Kópasker
66.237,-16.56,2.9 km,2,99,8.6 km SW of Kópasker
66.231,-16.567,2.6 km,1.4,38.48,9.4 km SSW of Kópasker
66.234,-16.569,3.7 km,1.3,30.61,9.2 km SW of Kópasker
66.236,-16.564,4.3 km,2.2,99,8.9 km SW of Kópasker
66.24,-16.547,8.1 km,1.5,71.04,8.1 km SSW of Kópasker
66.236,-16.625,1.1 km,1.8,90.01,10.6 km SW of Kópasker
66.233,-16.571,2.6 km,1.9,90.01,9.3 km SW of Kópasker
66.239,-16.544,6.8 km,1.7,99,8.0 km SSW of Kópasker
66.23,-16.566,1.7 km,1.2,54.41,9.5 km SSW of Kópasker
66.235,-16.563,3.5 km,1.8,99,8.9 km SW of Kópasker
66.255,-16.544,2.2 km,1.2,40.92,6.6 km SW of Kópasker
66.234,-16.518,1.1 km,1.1,37.39,8.1 km SSW of Kópasker
66.233,-16.541,5.3 km,1.4,40.46,8.6 km SSW of Kópasker
66.235,-16.568,2.6 km,2.7,99,9.0 km SW of Kópasker
66.237,-16.564,2.4 km,1.6,99,8.8 km SW of Kópasker
66.239,-16.562,2.2 km,1.2,40.77,8.5 km SW of Kópasker
66.243,-16.542,3.9 km,1.2,31.03,7.7 km SSW of Kópasker
66.239,-16.552,3.5 km,2.1,99,8.3 km SSW of Kópasker
66.239,-16.562,3.0 km,2.2,99,8.5 km SW of Kópasker
66.247,-16.549,3.7 km,2.1,99,7.5 km SW of Kópasker
66.189,-16.636,0.5 km,1.3,60.18,15.0 km SSW of Kópasker
66.24,-16.562,2.8 km,3.2,99,8.4 km SW of Kópasker
66.239,-16.56,3.6 km,2.5,99,8.5 km SW of Kópasker
66.235,-16.564,5.4 km,1.8,86.01,8.9 km SW of Kópasker
66.245,-16.55,6.0 km,3.3,99,7.7 km SW of Kópasker
66.249,-16.553,1.5 km,1.4,85.1,7.4 km SW of Kópasker
66.241,-16.553,3.1 km,2.9,99,8.2 km SW of Kópasker
66.241,-16.556,3.0 km,2.8,99,8.2 km SW of Kópasker
66.269,-16.561,1.1 km,1.4,99,6.1 km SW of Kópasker
66.255,-16.536,2.9 km,1.3,51.85,6.4 km SW of Kópasker
66.267,-16.554,1.5 km,2,99,6.0 km SW of Kópasker
66.263,-16.537,1.5 km,1.6,70.21,5.7 km SW of Kópasker
66.263,-16.53,2.1 km,1.3,74.32,5.5 km SW of Kópasker
66.237,-16.553,3.3 km,1.5,54.67,8.5 km SSW of Kópasker
66.237,-16.546,1.1 km,1.3,32.18,8.3 km SSW of Kópasker
66.241,-16.549,2.3 km,1.7,99,8.0 km SSW of Kópasker
66.241,-16.548,3.7 km,2,99,8.0 km SSW of Kópasker
66.238,-16.56,2.4 km,1,30.74,8.6 km SW of Kópasker
66.244,-16.559,2.3 km,1.2,30.21,8.0 km SW of Kópasker
66.24,-16.554,2.8 km,1.9,99,8.2 km SSW of Kópasker
66.259,-16.535,5.1 km,1.4,41.64,6.0 km SW of Kópasker
66.266,-16.558,0.5 km,1.8,99,6.2 km SW of Kópasker
66.245,-16.548,1.0 km,2,99,7.6 km SW of Kópasker
66.243,-16.545,3.0 km,1.4,80.79,7.7 km SSW of Kópasker
66.241,-16.559,2.0 km,2.3,99,8.2 km SW of Kópasker
66.266,-16.48,18.9 km,1.3,56.4,4.2 km SSW of Kópasker
66.239,-16.553,3.8 km,1.4,41.09,8.3 km SSW of Kópasker
66.237,-16.56,2.4 km,1.2,53.19,8.7 km SW of Kópasker
66.267,-16.543,5.2 km,1.4,78.26,5.6 km SW of Kópasker
66.24,-16.485,1.3 km,1.3,51.33,7.0 km SSW of Kópasker
66.236,-16.552,4.9 km,1.2,40.6,8.6 km SSW of Kópasker
66.241,-16.545,4.9 km,1.2,30.41,7.9 km SSW of Kópasker
66.254,-16.56,2.2 km,1.1,40.33,7.2 km SW of Kópasker
66.248,-16.547,2.8 km,1.9,99,7.3 km SW of Kópasker
66.306,-16.493,5.6 km,1.3,73.13,1.9 km WNW of Kópasker
66.241,-16.561,2.3 km,2.2,99,8.3 km SW of Kópasker
66.259,-16.555,0.5 km,1.4,54.17,6.6 km SW of Kópasker
66.248,-16.548,5.7 km,2.1,99,7.4 km SW of Kópasker
66.243,-16.562,2.1 km,2.1,99,8.2 km SW of Kópasker
66.246,-16.561,2.9 km,1.2,67.67,7.9 km SW of Kópasker
66.255,-16.529,2.5 km,1.7,83.32,6.2 km SSW of Kópasker
66.26,-16.541,5.5 km,1.9,99,6.1 km SW of Kópasker
66.254,-16.558,5.3 km,1.2,53.56,7.1 km SW of Kópasker
66.267,-16.543,5.0 km,1.1,44.47,5.6 km SW of Kópasker
66.251,-16.563,1.1 km,1.1,31.48,7.5 km SW of Kópasker
66.262,-16.535,2.3 km,1.1,30.87,5.8 km SW of Kópasker
66.252,-16.543,1.3 km,1.4,68.67,6.9 km SW of Kópasker
66.258,-16.536,2.9 km,1.7,75.49,6.1 km SW of Kópasker
66.236,-16.562,1.3 km,1.5,72.3,8.8 km SW of Kópasker
66.261,-16.535,5.3 km,1.9,99,5.8 km SW of Kópasker
66.253,-16.549,1.9 km,1.7,60.49,6.9 km SW of Kópasker
66.238,-16.558,2.0 km,2.2,99,8.6 km SW of Kópasker
66.246,-16.553,0.7 km,2.9,99,7.7 km SW of Kópasker
66.246,-16.55,5.1 km,2.1,60.38,7.6 km SW of Kópasker
66.253,-16.547,4.4 km,3.3,99,6.9 km SW of Kópasker
66.278,-16.53,6.6 km,4.2,99,4.4 km SW of Kópasker
66.268,-16.642,1.1 km,3.9,90.05,9.3 km WSW of Kópasker
66.263,-16.555,2.7 km,2.2,90.03,6.3 km SW of Kópasker
66.255,-16.544,5.5 km,1.3,74.12,6.6 km SW of Kópasker
66.305,-16.496,7.0 km,1.2,35.85,2.0 km W of Kópasker
66.256,-16.553,1.7 km,1.2,30.46,6.8 km SW of Kópasker
66.253,-16.543,1.7 km,1.7,55.26,6.8 km SW of Kópasker
66.258,-16.547,1.9 km,2.7,99,6.4 km SW of Kópasker
66.262,-16.558,3.0 km,2.2,90.02,6.5 km SW of Kópasker
66.955,-14.379,1.1 km,2.8,41.77,64.5 km N of Fontur
66.255,-16.553,1.2 km,1,39.09,6.9 km SW of Kópasker
65.865,-16.992,4.7 km,0.8,90.01,2.0 km WSW of Þeistareykir
66.259,-16.552,2.7 km,1.5,90.01,6.5 km SW of Kópasker
66.243,-16.567,1.6 km,1.1,37.74,8.3 km SW of Kópasker
66.25,-16.545,2.5 km,1.1,30.15,7.1 km SW of Kópasker
66.3,-16.515,5.3 km,1.3,36.66,2.8 km W of Kópasker
66.278,-16.476,15.9 km,1.4,52.02,2.8 km SSW of Kópasker
66.254,-16.495,10.3 km,1.5,85.9,5.6 km SSW of Kópasker
66.246,-16.565,0.1 km,1,99,8.0 km SW of Kópasker
66.35,-16.384,1.1 km,1.4,84.15,6.2 km NNE of Kópasker
66.255,-16.543,3.5 km,2.2,99,6.6 km SW of Kópasker
66.261,-16.546,0.6 km,1,99,6.2 km SW of Kópasker
66.25,-16.554,1.5 km,1.1,99,7.3 km SW of Kópasker
66.248,-16.548,2.3 km,0.9,99,7.4 km SW of Kópasker
66.242,-16.561,1.6 km,0.8,99,8.2 km SW of Kópasker
66.247,-16.543,2.8 km,1.4,99,7.3 km SW of Kópasker
66.258,-16.542,1.7 km,1,99,6.3 km SW of Kópasker
66.249,-16.551,7.2 km,0.7,99,7.3 km SW of Kópasker
66.241,-16.539,3.0 km,1.4,99,7.8 km SSW of Kópasker
66.264,-16.542,1.6 km,1.1,99,5.8 km SW of Kópasker
66.25,-16.571,0.2 km,0.7,99,7.8 km SW of Kópasker
66.259,-16.505,1.1 km,1.6,99,5.3 km SSW of Kópasker
66.242,-16.549,2.5 km,1.3,99,7.9 km SSW of Kópasker
66.264,-16.549,4.1 km,1.1,99,6.0 km SW of Kópasker
66.282,-16.486,16.4 km,1.1,99,2.6 km SW of Kópasker
66.243,-16.556,2.2 km,1.1,99,8.0 km SW of Kópasker
66.249,-16.54,3.0 km,0.8,99,7.1 km SW of Kópasker
66.256,-16.544,2.6 km,1.4,99,6.5 km SW of Kópasker
66.26,-16.502,10.0 km,1.5,99,5.2 km SSW of Kópasker
66.243,-16.548,5.1 km,1.4,69.91,7.8 km SSW of Kópasker
66.249,-16.545,2.9 km,1.8,99,7.2 km SW of Kópasker
66.266,-16.603,3.3 km,1.2,99,7.8 km WSW of Kópasker
66.253,-16.555,1.7 km,2,90.02,7.1 km SW of Kópasker
66.25,-16.544,2.4 km,0.9,99,7.0 km SW of Kópasker
66.264,-16.56,1.3 km,1,99,6.4 km SW of Kópasker
66.251,-16.548,4.3 km,2,99,7.1 km SW of Kópasker
66.244,-16.556,2.7 km,2,99,7.9 km SW of Kópasker
66.247,-16.55,2.7 km,2.1,99,7.5 km SW of Kópasker
66.242,-16.547,3.3 km,1.2,99,7.8 km SSW of Kópasker
64.814,-16.901,7.3 km,0.8,99,15.0 km ENE of Kistufell
66.25,-16.548,4.2 km,1.9,90.01,7.2 km SW of Kópasker
66.245,-16.549,1.7 km,1.1,99,7.7 km SW of Kópasker
66.242,-16.54,4.8 km,1.2,40.88,7.7 km SSW of Kópasker
66.244,-16.543,3.0 km,1.3,99,7.6 km SSW of Kópasker
66.263,-16.546,1.2 km,1.4,99,6.0 km SW of Kópasker
66.263,-16.557,0.8 km,1.2,41.02,6.4 km SW of Kópasker
66.256,-16.537,0.8 km,1.2,99,6.3 km SW of Kópasker
66.258,-16.549,1.3 km,2.5,99,6.5 km SW of Kópasker
66.241,-16.539,2.4 km,1.3,99,7.8 km SSW of Kópasker
66.261,-16.557,1.0 km,1.4,40.36,6.5 km SW of Kópasker
66.265,-16.529,3.3 km,1.6,99,5.3 km SW of Kópasker
64.798,-17.818,3.4 km,0.8,99,14.3 km ENE of Nýidalur
66.245,-16.554,2.4 km,1.9,99,7.8 km SW of Kópasker
66.241,-16.557,1.7 km,1.9,99,8.2 km SW of Kópasker
66.247,-16.547,4.3 km,2,99,7.5 km SW of Kópasker
66.247,-16.545,3.1 km,1.4,99,7.3 km SW of Kópasker
66.247,-16.548,1.5 km,2,99,7.5 km SW of Kópasker
66.242,-16.56,1.4 km,1.1,37.04,8.2 km SW of Kópasker
66.245,-16.555,0.8 km,2,99,7.8 km SW of Kópasker
66.243,-16.55,1.0 km,1.2,99,7.8 km SW of Kópasker
66.24,-16.555,1.7 km,2.4,99,8.3 km SW of Kópasker
66.245,-16.55,1.4 km,1.1,99,7.6 km SW of Kópasker
66.244,-16.553,1.2 km,2,99,7.8 km SW of Kópasker
66.253,-16.543,3.1 km,1.5,99,6.8 km SW of Kópasker
66.245,-16.554,2.7 km,2.9,99,7.8 km SW of Kópasker
66.248,-16.541,2.9 km,1.5,47.88,7.2 km SW of Kópasker
66.24,-16.584,0.5 km,1.2,37.52,9.0 km SW of Kópasker
66.247,-16.551,1.2 km,1.5,99,7.5 km SW of Kópasker
66.257,-16.55,1.7 km,2.1,99,6.6 km SW of Kópasker
66.253,-16.548,1.5 km,1.1,36.79,6.9 km SW of Kópasker
66.244,-16.547,1.4 km,1.3,99,7.7 km SSW of Kópasker
66.267,-16.529,3.0 km,1.1,99,5.2 km SW of Kópasker
66.253,-16.541,1.6 km,1.3,99,6.7 km SW of Kópasker
66.25,-16.561,0.6 km,1.1,30.84,7.5 km SW of Kópasker
66.248,-16.544,1.1 km,1.3,41.04,7.2 km SW of Kópasker
66.25,-16.538,2.1 km,1.8,99,6.9 km SW of Kópasker
66.246,-16.557,1.1 km,1,99,7.8 km SW of Kópasker
66.24,-16.553,1.6 km,1.9,99,8.2 km SSW of Kópasker
66.262,-16.532,2.3 km,1.3,99,5.7 km SW of Kópasker
66.238,-16.565,0.4 km,1.2,39.07,8.7 km SW of Kópasker
66.244,-16.55,1.2 km,1.5,99,7.8 km SW of Kópasker
66.243,-16.556,1.5 km,1.9,99,8.1 km SW of Kópasker
66.245,-16.553,1.5 km,2.2,99,7.8 km SW of Kópasker
66.264,-16.547,1.5 km,1.4,99,6.0 km SW of Kópasker
66.261,-16.54,1.8 km,2.3,99,6.0 km SW of Kópasker
66.253,-16.526,3.2 km,1.2,99,6.3 km SSW of Kópasker
66.26,-16.537,0.9 km,1.1,99,6.0 km SW of Kópasker
66.242,-16.552,2.8 km,1.2,99,8.0 km SW of Kópasker
66.243,-16.549,3.3 km,1.4,99,7.8 km SSW of Kópasker
66.243,-16.548,1.1 km,1.1,48.98,7.8 km SSW of Kópasker
66.245,-16.542,3.4 km,1.2,99,7.4 km SSW of Kópasker
66.243,-16.54,4.3 km,1.4,41.08,7.6 km SSW of Kópasker
66.265,-16.533,2.5 km,1.4,99,5.4 km SW of Kópasker
66.251,-16.563,0.2 km,1.2,40.96,7.5 km SW of Kópasker
66.269,-16.517,8.9 km,1.4,40.09,4.7 km SW of Kópasker
66.259,-16.533,2.5 km,1.3,49.65,6.0 km SW of Kópasker
66.362,-16.333,1.1 km,1.4,35.14,8.5 km NE of Kópasker
66.256,-16.534,1.0 km,1.8,99,6.2 km SW of Kópasker
66.25,-16.549,2.3 km,1.2,40.44,7.2 km SW of Kópasker
66.264,-16.53,5.3 km,2.3,99,5.4 km SW of Kópasker
66.245,-16.54,3.6 km,1.1,99,7.4 km SSW of Kópasker
66.275,-16.531,1.6 km,0.9,99,4.6 km SW of Kópasker
66.262,-16.53,3.1 km,1,99,5.6 km SW of Kópasker
66.258,-16.543,2.1 km,1.3,40.83,6.3 km SW of Kópasker
66.244,-16.547,2.8 km,1.3,99,7.7 km SSW of Kópasker
66.262,-16.535,3.6 km,2.3,99,5.7 km SW of Kópasker
66.262,-16.533,3.3 km,1.8,99,5.7 km SW of Kópasker
66.308,-16.502,6.0 km,1,32.07,2.3 km WNW of Kópasker
66.309,-16.533,6.8 km,1.2,31,3.7 km WNW of Kópasker
66.258,-16.54,0.8 km,1.8,99,6.2 km SW of Kópasker
66.245,-16.544,0.1 km,1.8,99,7.5 km SSW of Kópasker
66.265,-16.535,3.2 km,2.2,99,5.5 km SW of Kópasker
66.259,-16.561,1.4 km,1.3,31.79,6.8 km SW of Kópasker
66.263,-16.522,4.0 km,1.9,99,5.3 km SW of Kópasker
66.261,-16.543,2.5 km,2,99,6.1 km SW of Kópasker
66.262,-16.533,3.5 km,2,99,5.7 km SW of Kópasker
66.244,-16.542,2.7 km,1.9,99,7.6 km SSW of Kópasker
66.246,-16.559,5.3 km,1.6,40.24,7.8 km SW of Kópasker
66.248,-16.554,2.6 km,2.3,99,7.5 km SW of Kópasker
66.255,-16.554,0.5 km,1.2,32.49,6.9 km SW of Kópasker
66.266,-16.526,4.0 km,1.9,99,5.2 km SW of Kópasker
66.245,-16.544,3.9 km,1.1,99,7.5 km SSW of Kópasker
64.597,-17.172,13.4 km,0.8,99,17.6 km ESE of Bárðarbunga
66.264,-16.499,12.9 km,1.6,99,4.6 km SSW of Kópasker
66.242,-16.557,1.2 km,1.4,99,8.1 km SW of Kópasker
66.246,-16.547,3.1 km,1.6,99,7.5 km SW of Kópasker
66.257,-16.54,5.2 km,1.2,31.09,6.3 km SW of Kópasker
66.251,-16.539,5.0 km,1.2,40.25,6.8 km SW of Kópasker
66.244,-16.55,2.5 km,1.2,99,7.8 km SW of Kópasker
66.267,-16.548,0.9 km,1.2,30.56,5.8 km SW of Kópasker
66.245,-16.545,2.8 km,1.8,99,7.5 km SSW of Kópasker
66.275,-16.526,4.2 km,1.5,99,4.4 km SW of Kópasker
66.249,-16.538,3.7 km,1.2,38.36,7.0 km SSW of Kópasker
66.25,-16.544,2.0 km,1.1,99,7.1 km SW of Kópasker
66.254,-16.542,2.5 km,1.1,99,6.6 km SW of Kópasker
66.245,-16.548,2.3 km,1.3,42.22,7.6 km SW of Kópasker
66.253,-16.535,5.7 km,1.1,99,6.6 km SW of Kópasker
66.249,-16.548,3.4 km,2.4,99,7.2 km SW of Kópasker
66.25,-16.546,3.3 km,1.9,99,7.1 km SW of Kópasker
66.271,-16.532,2.0 km,1.2,38.17,4.9 km SW of Kópasker
66.25,-16.551,4.0 km,1.7,99,7.2 km SW of Kópasker
66.249,-16.547,3.3 km,1.3,99,7.2 km SW of Kópasker
66.246,-16.554,2.2 km,1.6,99,7.7 km SW of Kópasker
66.247,-16.548,1.7 km,1.4,61.7,7.4 km SW of Kópasker
66.249,-16.558,3.8 km,1.6,99,7.5 km SW of Kópasker
66.609,-17.803,5.4 km,1.3,49.08,11.8 km NE of Grímsey
66.633,-17.838,10.7 km,1.8,99,12.7 km NE of Grímsey
66.246,-16.568,1.5 km,1.3,31.66,8.1 km SW of Kópasker
66.243,-16.591,2.3 km,1.8,90.02,9.0 km SW of Kópasker
66.247,-16.55,2.6 km,2.1,99,7.5 km SW of Kópasker
66.249,-16.547,2.8 km,1.9,99,7.3 km SW of Kópasker
66.247,-16.544,3.8 km,1.6,99,7.4 km SW of Kópasker
66.258,-16.542,2.1 km,0.9,99,6.4 km SW of Kópasker
66.618,-17.856,11.8 km,1.6,99,10.8 km NE of Grímsey
66.269,-16.544,0.7 km,1,99,5.5 km SW of Kópasker
66.266,-16.528,3.1 km,1.5,99,5.3 km SW of Kópasker
66.259,-16.536,2.9 km,1.2,99,6.1 km SW of Kópasker
66.251,-16.54,3.4 km,1.5,99,6.9 km SW of Kópasker
66.628,-17.838,11.5 km,1.6,99,12.2 km NE of Grímsey
67.283,-18.004,1.1 km,2.2,78.31,32.7 km ENE of Kolbeinsey
66.263,-16.538,1.9 km,1.7,99,5.8 km SW of Kópasker
66.268,-16.539,2.1 km,2.1,99,5.4 km SW of Kópasker
66.245,-16.547,2.7 km,1.9,99,7.6 km SW of Kópasker
66.246,-16.551,2.4 km,1.8,99,7.6 km SW of Kópasker
66.623,-17.842,11.2 km,1.6,99,11.7 km NE of Grímsey
66.247,-16.541,3.7 km,1.1,99,7.3 km SSW of Kópasker
66.241,-16.554,1.8 km,1.2,99,8.1 km SW of Kópasker
66.244,-16.555,2.5 km,1.5,99,7.9 km SW of Kópasker
66.241,-16.561,1.7 km,1.1,30.63,8.3 km SW of Kópasker
66.242,-16.554,2.5 km,1.1,99,8.0 km SW of Kópasker
66.246,-16.551,2.1 km,1,99,7.6 km SW of Kópasker
66.247,-16.558,1.0 km,1.3,33.24,7.7 km SW of Kópasker
66.252,-16.541,4.4 km,1.5,99,6.8 km SW of Kópasker
66.259,-16.543,6.1 km,1.4,99,6.3 km SW of Kópasker
66.248,-16.547,3.2 km,1.4,99,7.3 km SW of Kópasker
66.255,-16.55,2.4 km,1.3,99,6.8 km SW of Kópasker
66.246,-16.543,2.8 km,1.3,99,7.4 km SSW of Kópasker
66.254,-16.545,1.7 km,2.4,99,6.7 km SW of Kópasker
66.249,-16.551,2.7 km,2.5,99,7.3 km SW of Kópasker
66.25,-16.541,2.2 km,1.6,99,7.0 km SW of Kópasker
66.247,-16.531,3.0 km,1.4,99,7.0 km SSW of Kópasker
66.251,-16.518,5.2 km,1.9,99,6.4 km SSW of Kópasker
